Site	Forward_Reads	Reverse_Reads	F/(F+R)_Ratio
inv_actual_1	11400	11526	0.4973
inv_actual_1011	1172	878	0.5717
inv_actual_1012	676	392	0.6330
inv_actual_1112	536	300	0.6411
inv_actual_1198	352	304	0.5366
inv_actual_1199	342	300	0.5327
inv_actual_1207	670	532	0.5574
inv_actual_1208	982	750	0.5670
inv_actual_1209	968	598	0.6181
inv_actual_1220	546	384	0.5871
inv_actual_1233	2922	2186	0.5720
inv_actual_1244	1802	1432	0.5572
inv_actual_1255	778	456	0.6305
inv_actual_1330	16	16	0.5000
inv_actual_1331	1900	1086	0.6363
inv_actual_1376	780	718	0.5207
inv_actual_1399	1582	1382	0.5337
inv_actual_1431	1928	1246	0.6074
inv_actual_1437	4690	1656	0.7390
inv_actual_1438	930	736	0.5582
inv_actual_1440	9146	4758	0.6578
inv_actual_1475	9042	4896	0.6487
inv_actual_1487	4786	2904	0.6224
inv_actual_1491	1764	834	0.6790
inv_actual_1492	1084	416	0.7227
inv_actual_1509	1130	608	0.6502
inv_actual_1510	2132	1874	0.5322
inv_actual_1525	442	386	0.5338
inv_actual_1535	444	428	0.5092
inv_actual_1544	886	862	0.5069
inv_actual_1568	4	4	0.5000
inv_actual_1589	456	440	0.5089
inv_actual_1590	554	454	0.5496
inv_actual_1593	70	70	0.5000
inv_actual_1616	3302	1752	0.6533
inv_actual_1617	3320	1346	0.7115
inv_actual_1631	440	188	0.7006
inv_actual_1633	4116	2118	0.6603
inv_actual_1634	3126	1486	0.6778
inv_actual_164	222	154	0.5904
inv_actual_1640	420	274	0.6052
inv_actual_1641	116	112	0.5088
inv_actual_1651	14	8	0.6364
inv_actual_1664	134	134	0.5000
inv_actual_1669	470	318	0.5964
inv_actual_1670	216	164	0.5684
inv_actual_1676	58	46	0.5577
inv_actual_1677	18	16	0.5294
inv_actual_1678	656	386	0.6296
inv_actual_1680	54	42	0.5625
inv_actual_1682	218	136	0.6158
inv_actual_1684	82	48	0.6308
inv_actual_1691	6	6	0.5000
inv_actual_1692	936	638	0.5947
inv_actual_1693	1666	1104	0.6014
inv_actual_1697	294	238	0.5526
inv_actual_170	340	268	0.5592
inv_actual_1700	230	168	0.5779
inv_actual_1704	48116	39956	0.5463
inv_actual_1707	500228	151628	0.7674
inv_actual_1711	698	448	0.6091
inv_actual_1713	6622	4848	0.5773
inv_actual_1714	3542	3502	0.5028
inv_actual_1719	12	12	0.5000
inv_actual_1721	50	48	0.5102
inv_actual_1723	222	46	0.8284
inv_actual_1730	3236	2986	0.5201
inv_actual_1731	4938	4562	0.5198
inv_actual_1741	370	240	0.6066
inv_actual_1742	496	356	0.5822
inv_actual_1743	226	130	0.6348
inv_actual_1755	38	24	0.6129
inv_actual_1772	40	38	0.5128
inv_actual_178	256	186	0.5792
inv_actual_1780	347406	329722	0.5131
inv_actual_1782	174	80	0.6850
inv_actual_1787	118	68	0.6344
inv_actual_1789	22	18	0.5500
inv_actual_179	114	102	0.5278
inv_actual_1797	40	30	0.5714
inv_actual_1806	16	16	0.5000
inv_actual_1810	4	4	0.5000
inv_actual_1827	129544	101072	0.5617
inv_actual_1834	78	62	0.5571
inv_actual_1836	322	288	0.5279
inv_actual_1841	60	28	0.6818
inv_actual_1846	450	368	0.5501
inv_actual_1858	594	284	0.6765
inv_actual_186	1378	1312	0.5123
inv_actual_1860	2	0	1.0000
inv_actual_1861	69348	57550	0.5465
inv_actual_1869	24	6	0.8000
inv_actual_1886	4	2	0.6667
inv_actual_1892	816048	551758	0.5966
inv_actual_1901	2	0	1.0000
inv_actual_1909	10	4	0.7143
inv_actual_1910	28	6	0.8235
inv_actual_1912	58	18	0.7632
inv_actual_1930	68	34	0.6667
inv_actual_1931	38	38	0.5000
inv_actual_1932	6	4	0.6000
inv_actual_1935	2	0	1.0000
inv_actual_1937	5346	1754	0.7530
inv_actual_1942	2	0	1.0000
inv_actual_1958	6	0	1.0000
inv_actual_1967	20	8	0.7143
inv_actual_1968	2	2	0.5000
inv_actual_1969	120	120	0.5000
inv_actual_1970	2	0	1.0000
inv_actual_1975	24	10	0.7059
inv_actual_1985	6	2	0.7500
inv_actual_1999	2	0	1.0000
inv_actual_2006	4	2	0.6667
inv_actual_2011	4	0	1.0000
inv_actual_2016	10	10	0.5000
inv_actual_2024	20	0	1.0000
inv_actual_2038	2	0	1.0000
inv_actual_2045	14	0	1.0000
inv_actual_2058	10	0	1.0000
inv_actual_2062	2	0	1.0000
inv_actual_2076	8	0	1.0000
inv_actual_2095	26	4	0.8667
inv_actual_2101	2	2	0.5000
inv_actual_2131	4	0	1.0000
inv_actual_2133	2	0	1.0000
inv_actual_2149	16	4	0.8000
inv_actual_2154	2	0	1.0000
inv_actual_2191	2	0	1.0000
inv_actual_2204	2	0	1.0000
inv_actual_2209	6	0	1.0000
inv_actual_2213	12	0	1.0000
inv_actual_2253	2	0	1.0000
inv_actual_2259	30	2	0.9375
inv_actual_2264	26	4	0.8667
inv_actual_2274	4	0	1.0000
inv_actual_2310	2	2	0.5000
inv_actual_233	570	370	0.6064
inv_actual_2332	2	0	1.0000
inv_actual_234	430	366	0.5402
inv_actual_2354	2	0	1.0000
inv_actual_2380	4	0	1.0000
inv_actual_2400	1056	6	0.9944
inv_actual_2418	2	0	1.0000
inv_actual_2428	6	4	0.6000
inv_actual_2451	28	0	1.0000
inv_actual_2467	40	18	0.6897
inv_actual_2486	2	0	1.0000
inv_actual_2499	2	2	0.5000
inv_actual_2506	2	0	1.0000
inv_actual_2546	2	0	1.0000
inv_actual_2566	28	16	0.6364
inv_actual_257	1510	908	0.6245
inv_actual_258	1254	774	0.6183
inv_actual_259	450	450	0.5000
inv_actual_260	256	92	0.7356
inv_actual_261	240	104	0.6977
inv_actual_2655	2	0	1.0000
inv_actual_2729	2	0	1.0000
inv_actual_2744	10	2	0.8333
inv_actual_2769	2	0	1.0000
inv_actual_2812	706	124	0.8506
inv_actual_2813	136	14	0.9067
inv_actual_2814	44	8	0.8462
inv_actual_2815	16	0	1.0000
inv_actual_2816	59234	5574	0.9140
inv_actual_2817	96	18	0.8421
inv_actual_2819	5668	5556	0.5050
inv_actual_2821	16494	10328	0.6149
inv_actual_2823	584	104	0.8488
inv_actual_2824	1058	150	0.8758
inv_actual_2826	564	88	0.8650
inv_actual_2827	16126	610	0.9636
inv_actual_296	100	100	0.5000
inv_actual_339	810	754	0.5179
inv_actual_346	640	314	0.6709
inv_actual_347	476	446	0.5163
inv_actual_4	594	362	0.6213
inv_actual_426	100	74	0.5747
inv_actual_427	626	612	0.5057
inv_actual_457	988	736	0.5731
inv_actual_458	886	708	0.5558
inv_actual_459	686	566	0.5479
inv_actual_460	594	396	0.6000
inv_actual_523	4	2	0.6667
inv_actual_533	4436	3074	0.5907
inv_actual_534	64	44	0.5926
inv_actual_549	1342	864	0.6083
inv_actual_606	8478	4628	0.6469
inv_actual_607	5452	4436	0.5514
inv_actual_65	10908	6476	0.6275
inv_actual_67	6258	6258	0.5000
inv_actual_68	100	16	0.8621
inv_actual_69	226	98	0.6975
inv_actual_693	170	116	0.5944
inv_actual_70	160	68	0.7018
inv_actual_71	38	24	0.6129
inv_actual_712	248	78	0.7607
inv_actual_754	224	190	0.5411
inv_actual_773	544	288	0.6538
inv_actual_774	558	418	0.5717
inv_actual_775	276	102	0.7302
inv_actual_776	232	158	0.5949
inv_actual_823	28	24	0.5385
inv_actual_831	4274	4102	0.5103
inv_actual_833	2232	1412	0.6125
inv_actual_834	2150	972	0.6887
inv_actual_839	1588	1394	0.5325
inv_actual_840	866	748	0.5366
inv_actual_866	332	136	0.7094
inv_actual_87	200	116	0.6329
inv_actual_871	4808	4088	0.5405
inv_actual_872	862	862	0.5000
inv_actual_88	306	298	0.5066
inv_actual_885	1328	888	0.5993
inv_actual_886	762	488	0.6096
inv_actual_887	330	186	0.6395
inv_actual_888	532	344	0.6073
inv_actual_889	418	294	0.5871
inv_actual_906	472	410	0.5351
inv_actual_907	832	796	0.5111
inv_actual_933	942	904	0.5103
inv_actual_934	2060	1996	0.5079
inv_actual_948	24	18	0.5714
inv_actual_991	1110	976	0.5321
