ID	Pe_F	Pe_R	Pe_ratio	Span_F	Span_R	Span_ratio
CR626927.1:1003620-1003631-1004286-1004297	368	0	0.0	137	0	0.0
CR626927.1:1005068-1005081-1005265-1005278	1150	0	0.0	404	0	0.0
CR626927.1:1006423-1006439-1006762-1006778	236	0	0.0	87	0	0.0
CR626927.1:1007434-1007448-1007714-1007728	596	0	0.0	237	0	0.0
CR626927.1:1009866-1009879-1010166-1010179	558	0	0.0	173	0	0.0
CR626927.1:1013118-1013133-1013284-1013299	86	0	0.0	24	0	0.0
CR626927.1:1015507-1015518-1015818-1015829	342	0	0.0	135	0	0.0
CR626927.1:1018040-1018053-1018308-1018321	420	0	0.0	148	0	0.0
CR626927.1:1020843-1020857-1021218-1021232	3738	0	0.0	1441	0	0.0
CR626927.1:1022883-1022894-1022996-1023007	2462	0	0.0	1104	4	0.0
CR626927.1:1030851-1030866-1031325-1031340	758	0	0.0	270	0	0.0
CR626927.1:1031499-1031512-1031544-1031557	450	0	0.0	217	7	0.03
CR626927.1:1034515-1034528-1034954-1034967	1046	0	0.0	361	0	0.0
CR626927.1:1035482-1035495-1035809-1035822	578	0	0.0	163	0	0.0
CR626927.1:1037529-1037541-1038123-1038135	672	0	0.0	225	0	0.0
CR626927.1:103758-103772-104422-104436	1632	0	0.0	532	0	0.0
CR626927.1:1041348-1041360-1041679-1041691	616	0	0.0	216	0	0.0
CR626927.1:1043772-1043786-1044031-1044045	850	0	0.0	254	0	0.0
CR626927.1:1044813-1044826-1045218-1045231	1192	0	0.0	408	0	0.0
CR626927.1:104565-104577-104774-104786	4296	0	0.0	1521	0	0.0
CR626927.1:1049484-1049500-1049539-1049555	2734	0	0.0	1320	7	0.01
CR626927.1:1054270-1054283-1054452-1054465	148	0	0.0	36	0	0.0
CR626927.1:1055055-1055068-1055487-1055500	158	0	0.0	58	0	0.0
CR626927.1:1056877-1056890-1057069-1057082	122	0	0.0	41	0	0.0
CR626927.1:105703-105714-106178-106189	118	0	0.0	43	0	0.0
CR626927.1:1060374-1060385-1061074-1061085	36	0	0.0	15	0	0.0
CR626927.1:106251-106263-106670-106682	96	0	0.0	27	0	0.0
CR626927.1:1064589-1064602-1064902-1064915	124	0	0.0	46	0	0.0
CR626927.1:1064929-1064942-1065239-1065252	128	0	0.0	45	0	0.0
CR626927.1:1071090-1071102-1071639-1071651	88	0	0.0	27	0	0.0
CR626927.1:107297-107310-107795-107808	78	0	0.0	26	0	0.0
CR626927.1:1076660-1076673-1076934-1076947	94	0	0.0	30	0	0.0
CR626927.1:1079634-1079647-1079867-1079880	46	0	0.0	22	0	0.0
CR626927.1:1082063-1082076-1082741-1082754	34	0	0.0	10	0	0.0
CR626927.1:1084226-1084239-1084282-1084295	32	0	0.0	17	1	0.06
CR626927.1:1089391-1089402-1089470-1089481	1006	0	0.0	511	2	0.0
CR626927.1:1092234-1092247-1092397-1092410	1682	0	0.0	622	0	0.0
CR626927.1:1093132-1093145-1093796-1093809	134	0	0.0	68	0	0.0
CR626927.1:1101999-1102010-1102285-1102296	1444	0	0.0	445	0	0.0
CR626927.1:1102476-1102489-1102984-1102997	1568	0	0.0	530	0	0.0
CR626927.1:1103129-1103140-1103227-1103238	1446	0	0.0	782	8	0.01
CR626927.1:1106456-1106469-1106896-1106909	22160	0	0.0	7672	0	0.0
CR626927.1:1110426-1110438-1110795-1110807	90	0	0.0	35	0	0.0
CR626927.1:1110850-1110864-1111199-1111213	72	0	0.0	22	0	0.0
CR626927.1:1112450-1112463-1112633-1112646	54	0	0.0	21	0	0.0
CR626927.1:1115333-1115354-1115713-1115734	162	0	0.0	47	0	0.0
CR626927.1:1116849-1116861-1117168-1117180	16	0	0.0	5	0	0.0
CR626927.1:111768-111779-112093-112104	1852	0	0.0	663	0	0.0
CR626927.1:1117754-1117767-1118142-1118155	12	0	0.0	3	0	0.0
CR626927.1:1118162-1118178-1118306-1118322	18	0	0.0	6	0	0.0
CR626927.1:1121568-1121584-1121938-1121954	610	2	0.0	58	0	0.0
CR626927.1:1124432-1124443-1125116-1125127	1020	0	0.0	353	0	0.0
CR626927.1:113256-113267-113383-113394	458	0	0.0	173	0	0.0
CR626927.1:1142107-1142120-1142284-1142297	1044	0	0.0	389	0	0.0
CR626927.1:1143118-1143131-1143629-1143642	1052	0	0.0	301	0	0.0
CR626927.1:1150454-1150465-1151041-1151052	2864	0	0.0	1017	0	0.0
CR626927.1:1153269-1153281-1153853-1153865	2108	0	0.0	758	0	0.0
CR626927.1:1154019-1154032-1154092-1154105	2182	0	0.0	1122	20	0.02
CR626927.1:1155207-1155220-1155754-1155767	3066	0	0.0	1036	0	0.0
CR626927.1:1157908-1157921-1158588-1158601	1624	0	0.0	551	0	0.0
CR626927.1:116009-116020-116363-116374	238	0	0.0	77	0	0.0
CR626927.1:1164913-1164926-1165460-1165473	472	0	0.0	162	0	0.0
CR626927.1:1166079-1166091-1166760-1166772	1158	0	0.0	435	0	0.0
CR626927.1:1179038-1179051-1179135-1179148	480	0	0.0	227	2	0.01
CR626927.1:1180419-1180432-1181152-1181165	10	0	0.0	5	0	0.0
CR626927.1:1182292-1182306-1182437-1182451	270	0	0.0	99	0	0.0
CR626927.1:1182619-1182631-1182673-1182685	124	0	0.0	64	0	0.0
CR626927.1:1186639-1186652-1186710-1186723	562	0	0.0	243	2	0.01
CR626927.1:1187015-1187028-1187727-1187740	2240	0	0.0	755	0	0.0
CR626927.1:1192461-1192474-1193183-1193196	608	0	0.0	213	0	0.0
CR626927.1:1197178-1197189-1197800-1197811	240	0	0.0	94	0	0.0
CR626927.1:1198053-1198065-1198160-1198172	164	0	0.0	65	0	0.0
CR626927.1:1201717-1201729-1202286-1202298	638	0	0.0	226	0	0.0
CR626927.1:1203862-1203876-1204236-1204250	994	0	0.0	268	0	0.0
CR626927.1:1207180-1207193-1207478-1207491	2548	0	0.0	897	0	0.0
CR626927.1:121022-121038-121215-121231	26	0	0.0	7	0	0.0
CR626927.1:1210819-1210832-1211027-1211040	242	0	0.0	97	0	0.0
CR626927.1:1219479-1219490-1219664-1219675	496	0	0.0	183	0	0.0
CR626927.1:1222883-1222894-1223619-1223630	674	0	0.0	238	0	0.0
CR626927.1:1225261-1225272-1225568-1225579	248	0	0.0	83	0	0.0
CR626927.1:1229690-1229701-1229861-1229872	708	0	0.0	268	0	0.0
CR626927.1:1230082-1230093-1230642-1230653	728	0	0.0	245	0	0.0
CR626927.1:1231077-1231091-1231128-1231142	1564	0	0.0	726	8	0.01
CR626927.1:1232989-1233000-1233508-1233519	1732	0	0.0	607	0	0.0
CR626927.1:1233558-1233569-1234162-1234173	3774	0	0.0	1380	0	0.0
CR626927.1:1235514-1235529-1235944-1235959	1186	0	0.0	397	0	0.0
CR626927.1:1236839-1236852-1237059-1237072	2980	0	0.0	1024	0	0.0
CR626927.1:1237683-1237696-1237793-1237806	1640	0	0.0	729	2	0.0
CR626927.1:123871-123883-124143-124155	362	0	0.0	121	0	0.0
CR626927.1:1252322-1252336-1253025-1253039	5332	0	0.0	1840	0	0.0
CR626927.1:1256230-1256243-1256896-1256909	1184	0	0.0	467	0	0.0
CR626927.1:1260697-1260710-1261432-1261445	36	0	0.0	16	0	0.0
CR626927.1:1263692-1263705-1263972-1263985	4	2	0.33	2	0	0.0
CR626927.1:126419-126432-126746-126759	210	0	0.0	84	0	0.0
CR626927.1:1267623-1267636-1267776-1267789	4	0	0.0	0	0	NA
CR626927.1:1268829-1268842-1268947-1268960	2	0	0.0	1	0	0.0
CR626927.1:1273316-1273329-1273803-1273816	4	0	0.0	1	0	0.0
CR626927.1:1274202-1274215-1274261-1274274	4	0	0.0	2	0	0.0
CR626927.1:1274682-1274693-1275289-1275300	2	0	0.0	0	0	NA
CR626927.1:1280492-1280505-1280602-1280615	48	0	0.0	25	0	0.0
CR626927.1:1280692-1280703-1280830-1280841	32	0	0.0	12	0	0.0
CR626927.1:1284656-1284669-1285188-1285201	428	0	0.0	149	0	0.0
CR626927.1:1286431-1286442-1286588-1286599	182	0	0.0	61	0	0.0
CR626927.1:1289869-1289883-1290023-1290037	368	0	0.0	185	0	0.0
CR626927.1:1290113-1290126-1290572-1290585	396	0	0.0	172	0	0.0
CR626927.1:1290817-1290828-1291516-1291527	136	0	0.0	49	0	0.0
CR626927.1:129231-129246-129342-129357	30	0	0.0	13	0	0.0
CR626927.1:129405-129426-129545-129566	8	0	0.0	3	0	0.0
CR626927.1:1294603-1294615-1295037-1295049	378	0	0.0	122	0	0.0
CR626927.1:1298774-1298788-1299197-1299211	382	0	0.0	131	0	0.0
CR626927.1:1299951-1299965-1300481-1300495	446	0	0.0	144	0	0.0
CR626927.1:1301758-1301772-1301862-1301876	16	0	0.0	9	0	0.0
CR626927.1:1303170-1303183-1303223-1303236	28	0	0.0	14	0	0.0
CR626927.1:1304135-1304146-1304424-1304435	92	0	0.0	37	0	0.0
CR626927.1:1310223-1310239-1310802-1310818	256	0	0.0	90	0	0.0
CR626927.1:1312561-1312575-1312710-1312724	298	0	0.0	116	0	0.0
CR626927.1:1313951-1313964-1314227-1314240	706	0	0.0	255	0	0.0
CR626927.1:1315162-1315174-1315400-1315412	598	0	0.0	202	0	0.0
CR626927.1:1317097-1317115-1317147-1317165	6	0	0.0	3	0	0.0
CR626927.1:1321457-1321470-1321795-1321808	452	0	0.0	155	0	0.0
CR626927.1:132343-132354-132445-132456	926	0	0.0	361	2	0.01
CR626927.1:1329272-1329285-1329365-1329378	94	0	0.0	55	0	0.0
CR626927.1:1329479-1329490-1329905-1329916	54	0	0.0	17	0	0.0
CR626927.1:1335935-1335946-1336064-1336075	986	0	0.0	408	4	0.01
CR626927.1:1341739-1341750-1341986-1341997	150	0	0.0	55	0	0.0
CR626927.1:1342010-1342025-1342732-1342747	146	0	0.0	46	0	0.0
CR626927.1:1343949-1343969-1344250-1344270	72	0	0.0	43	0	0.0
CR626927.1:1345058-1345069-1345787-1345798	6	0	0.0	3	0	0.0
CR626927.1:1348376-1348387-1348443-1348454	2	0	0.0	1	0	0.0
CR626927.1:1349819-1349830-1350051-1350062	158	0	0.0	60	0	0.0
CR626927.1:1350428-1350441-1350664-1350677	4	0	0.0	0	0	NA
CR626927.1:1352118-1352131-1352729-1352742	48	0	0.0	20	0	0.0
CR626927.1:1353643-1353656-1354162-1354175	48	0	0.0	19	0	0.0
CR626927.1:1354497-1354509-1354951-1354963	20	0	0.0	8	0	0.0
CR626927.1:1355124-1355136-1355371-1355383	24	0	0.0	9	0	0.0
