ID	Pe_F	Pe_R	Pe_ratio	Span_F	Span_R	Span_ratio
CR626927.1:1003620-1003631-1004286-1004297	0	0	NA	0	0	NA
CR626927.1:1005068-1005081-1005265-1005278	0	0	NA	0	0	NA
CR626927.1:1006423-1006439-1006762-1006778	0	0	NA	0	0	NA
CR626927.1:1007434-1007448-1007714-1007728	0	0	NA	0	0	NA
CR626927.1:1009866-1009879-1010166-1010179	0	0	NA	0	0	NA
CR626927.1:1011752-1011777-1012235-1012260	0	0	NA	0	0	NA
CR626927.1:1013118-1013133-1013284-1013299	0	0	NA	0	0	NA
CR626927.1:1015507-1015518-1015818-1015829	0	0	NA	0	0	NA
CR626927.1:1018040-1018053-1018308-1018321	0	0	NA	0	0	NA
CR626927.1:1020843-1020857-1021218-1021232	0	0	NA	0	0	NA
CR626927.1:1022883-1022894-1022996-1023007	0	0	NA	0	0	NA
CR626927.1:1030851-1030866-1031325-1031340	0	0	NA	0	0	NA
CR626927.1:1031499-1031512-1031544-1031557	0	0	NA	0	0	NA
CR626927.1:1034515-1034528-1034954-1034967	0	0	NA	0	0	NA
CR626927.1:1035482-1035495-1035809-1035822	0	0	NA	0	0	NA
CR626927.1:1037529-1037541-1038123-1038135	0	0	NA	0	0	NA
CR626927.1:103758-103772-104422-104436	0	0	NA	0	0	NA
CR626927.1:1041348-1041360-1041679-1041691	0	0	NA	0	0	NA
CR626927.1:1043772-1043786-1044031-1044045	0	0	NA	0	0	NA
CR626927.1:1044813-1044826-1045218-1045231	0	0	NA	0	0	NA
CR626927.1:104565-104577-104774-104786	0	0	NA	0	0	NA
CR626927.1:1049484-1049500-1049539-1049555	0	0	NA	0	0	NA
CR626927.1:1054270-1054283-1054452-1054465	0	0	NA	0	0	NA
CR626927.1:1055055-1055068-1055487-1055500	0	0	NA	0	0	NA
CR626927.1:1056877-1056890-1057069-1057082	0	0	NA	0	0	NA
CR626927.1:105703-105714-106178-106189	0	0	NA	0	0	NA
CR626927.1:1060374-1060385-1061074-1061085	0	0	NA	0	0	NA
CR626927.1:106251-106263-106670-106682	0	0	NA	0	0	NA
CR626927.1:1064589-1064602-1064902-1064915	0	0	NA	0	0	NA
CR626927.1:1064929-1064942-1065239-1065252	0	0	NA	0	0	NA
CR626927.1:1071090-1071102-1071639-1071651	0	0	NA	0	0	NA
CR626927.1:107297-107310-107795-107808	0	0	NA	0	0	NA
CR626927.1:1076660-1076673-1076934-1076947	0	0	NA	0	0	NA
CR626927.1:1079634-1079647-1079867-1079880	0	0	NA	0	0	NA
CR626927.1:1082063-1082076-1082741-1082754	0	0	NA	0	0	NA
CR626927.1:1084226-1084239-1084282-1084295	0	0	NA	0	0	NA
CR626927.1:1089391-1089402-1089470-1089481	0	0	NA	0	0	NA
CR626927.1:1092234-1092247-1092397-1092410	0	0	NA	0	0	NA
CR626927.1:1093132-1093145-1093796-1093809	0	0	NA	0	0	NA
CR626927.1:1101999-1102010-1102285-1102296	0	0	NA	0	0	NA
CR626927.1:1102476-1102489-1102984-1102997	0	0	NA	0	0	NA
CR626927.1:1103129-1103140-1103227-1103238	0	0	NA	0	0	NA
CR626927.1:1106456-1106469-1106896-1106909	0	0	NA	0	0	NA
CR626927.1:1110426-1110438-1110795-1110807	0	0	NA	0	0	NA
CR626927.1:1110850-1110864-1111199-1111213	0	0	NA	0	0	NA
CR626927.1:1112450-1112463-1112633-1112646	0	0	NA	0	0	NA
CR626927.1:1115333-1115354-1115713-1115734	0	0	NA	0	0	NA
CR626927.1:1116849-1116861-1117168-1117180	0	0	NA	0	0	NA
CR626927.1:111768-111779-112093-112104	0	0	NA	0	0	NA
CR626927.1:1117754-1117767-1118142-1118155	0	0	NA	0	0	NA
CR626927.1:1118162-1118178-1118306-1118322	0	0	NA	0	0	NA
CR626927.1:1121568-1121584-1121938-1121954	0	0	NA	0	0	NA
CR626927.1:1124432-1124443-1125116-1125127	0	0	NA	0	0	NA
CR626927.1:113256-113267-113383-113394	0	0	NA	0	0	NA
CR626927.1:1142107-1142120-1142284-1142297	0	0	NA	0	0	NA
CR626927.1:1143118-1143131-1143629-1143642	0	0	NA	0	0	NA
CR626927.1:1150454-1150465-1151041-1151052	0	0	NA	0	0	NA
CR626927.1:1153269-1153281-1153853-1153865	0	0	NA	0	0	NA
CR626927.1:1154019-1154032-1154092-1154105	0	0	NA	0	0	NA
CR626927.1:1155207-1155220-1155754-1155767	0	0	NA	0	0	NA
CR626927.1:1157908-1157921-1158588-1158601	0	0	NA	0	0	NA
CR626927.1:116009-116020-116363-116374	0	0	NA	0	0	NA
CR626927.1:1164913-1164926-1165460-1165473	0	0	NA	0	0	NA
CR626927.1:1166079-1166091-1166760-1166772	0	0	NA	0	0	NA
CR626927.1:1179038-1179051-1179135-1179148	0	0	NA	0	0	NA
CR626927.1:1180419-1180432-1181152-1181165	0	0	NA	0	0	NA
CR626927.1:1182292-1182306-1182437-1182451	0	0	NA	0	0	NA
CR626927.1:1182619-1182631-1182673-1182685	0	0	NA	0	0	NA
CR626927.1:1186639-1186652-1186710-1186723	0	0	NA	0	0	NA
CR626927.1:1187015-1187028-1187727-1187740	0	0	NA	0	0	NA
CR626927.1:1192461-1192474-1193183-1193196	0	0	NA	0	0	NA
CR626927.1:1197178-1197189-1197800-1197811	0	0	NA	0	0	NA
CR626927.1:1198053-1198065-1198160-1198172	0	0	NA	0	0	NA
CR626927.1:1201717-1201729-1202286-1202298	0	0	NA	0	0	NA
CR626927.1:1203862-1203876-1204236-1204250	0	0	NA	0	0	NA
CR626927.1:1207180-1207193-1207478-1207491	0	0	NA	0	0	NA
CR626927.1:121022-121038-121215-121231	0	0	NA	0	0	NA
CR626927.1:1210819-1210832-1211027-1211040	0	0	NA	0	0	NA
CR626927.1:1219479-1219490-1219664-1219675	0	0	NA	0	0	NA
CR626927.1:1222883-1222894-1223619-1223630	0	0	NA	0	0	NA
CR626927.1:1225261-1225272-1225568-1225579	0	0	NA	0	0	NA
CR626927.1:1229690-1229701-1229861-1229872	0	0	NA	0	0	NA
CR626927.1:1230082-1230093-1230642-1230653	0	0	NA	0	0	NA
CR626927.1:1231077-1231091-1231128-1231142	0	0	NA	0	0	NA
CR626927.1:1232989-1233000-1233508-1233519	0	0	NA	0	0	NA
CR626927.1:1233558-1233569-1234162-1234173	0	0	NA	0	0	NA
CR626927.1:1235514-1235529-1235944-1235959	0	0	NA	0	0	NA
CR626927.1:1236839-1236852-1237059-1237072	0	0	NA	0	0	NA
CR626927.1:1237683-1237696-1237793-1237806	0	0	NA	0	0	NA
CR626927.1:123871-123883-124143-124155	0	0	NA	0	0	NA
CR626927.1:1252322-1252336-1253025-1253039	0	0	NA	0	0	NA
CR626927.1:1256230-1256243-1256896-1256909	0	0	NA	0	0	NA
CR626927.1:1260697-1260710-1261432-1261445	0	0	NA	0	0	NA
CR626927.1:1263692-1263705-1263972-1263985	0	0	NA	0	0	NA
CR626927.1:126419-126432-126746-126759	0	0	NA	0	0	NA
CR626927.1:1267623-1267636-1267776-1267789	0	0	NA	0	0	NA
CR626927.1:1268829-1268842-1268947-1268960	0	0	NA	0	0	NA
CR626927.1:1273316-1273329-1273803-1273816	0	0	NA	0	0	NA
CR626927.1:1274202-1274215-1274261-1274274	0	0	NA	0	0	NA
CR626927.1:1274682-1274693-1275289-1275300	0	0	NA	0	0	NA
CR626927.1:1280492-1280505-1280602-1280615	0	0	NA	0	0	NA
CR626927.1:1280692-1280703-1280830-1280841	0	0	NA	0	0	NA
CR626927.1:1284656-1284669-1285188-1285201	0	0	NA	0	0	NA
CR626927.1:1286431-1286442-1286588-1286599	0	0	NA	0	0	NA
CR626927.1:1289869-1289883-1290023-1290037	0	0	NA	0	0	NA
CR626927.1:1290113-1290126-1290572-1290585	0	0	NA	0	0	NA
CR626927.1:1290817-1290828-1291516-1291527	0	0	NA	0	0	NA
CR626927.1:129231-129246-129342-129357	0	0	NA	0	0	NA
CR626927.1:129405-129426-129545-129566	0	0	NA	0	0	NA
CR626927.1:1294603-1294615-1295037-1295049	0	0	NA	0	0	NA
CR626927.1:1298774-1298788-1299197-1299211	0	0	NA	0	0	NA
CR626927.1:1299951-1299965-1300481-1300495	0	0	NA	0	0	NA
CR626927.1:1301758-1301772-1301862-1301876	0	0	NA	0	0	NA
CR626927.1:1303170-1303183-1303223-1303236	0	0	NA	0	0	NA
CR626927.1:1304135-1304146-1304424-1304435	0	0	NA	0	0	NA
CR626927.1:1310223-1310239-1310802-1310818	0	0	NA	0	0	NA
CR626927.1:1312561-1312575-1312710-1312724	0	0	NA	0	0	NA
CR626927.1:1313951-1313964-1314227-1314240	0	0	NA	0	0	NA
CR626927.1:1315162-1315174-1315400-1315412	0	0	NA	0	0	NA
CR626927.1:1317097-1317115-1317147-1317165	0	0	NA	0	0	NA
CR626927.1:1321457-1321470-1321795-1321808	0	0	NA	0	0	NA
CR626927.1:132343-132354-132445-132456	0	0	NA	0	0	NA
CR626927.1:1329272-1329285-1329365-1329378	0	0	NA	0	0	NA
CR626927.1:1329479-1329490-1329905-1329916	0	0	NA	0	0	NA
CR626927.1:1335935-1335946-1336064-1336075	0	0	NA	0	0	NA
CR626927.1:1341739-1341750-1341986-1341997	0	0	NA	0	0	NA
CR626927.1:1342010-1342025-1342732-1342747	0	0	NA	0	0	NA
CR626927.1:1343949-1343969-1344250-1344270	0	0	NA	0	0	NA
CR626927.1:1345058-1345069-1345787-1345798	0	0	NA	0	0	NA
CR626927.1:1348376-1348387-1348443-1348454	0	0	NA	0	0	NA
CR626927.1:1349819-1349830-1350051-1350062	0	0	NA	0	0	NA
CR626927.1:1350428-1350441-1350664-1350677	0	0	NA	0	0	NA
CR626927.1:1352118-1352131-1352729-1352742	0	0	NA	0	0	NA
CR626927.1:1353643-1353656-1354162-1354175	0	0	NA	0	0	NA
CR626927.1:1354497-1354509-1354951-1354963	0	0	NA	0	0	NA
CR626927.1:1355124-1355136-1355371-1355383	0	0	NA	0	0	NA
CR626927.1:1356778-1356792-1357474-1357488	0	0	NA	0	0	NA
CR626927.1:1357641-1357652-1358225-1358236	0	0	NA	0	0	NA
CR626927.1:1362860-1362873-1363364-1363377	0	0	NA	0	0	NA
CR626927.1:1364526-1364539-1364595-1364608	0	0	NA	0	0	NA
CR626927.1:1366452-1366466-1366681-1366695	0	0	NA	0	0	NA
CR626927.1:1368096-1368109-1368354-1368367	0	0	NA	0	0	NA
CR626927.1:1370930-1370942-1371049-1371061	0	0	NA	0	0	NA
CR626927.1:137572-137583-138242-138253	0	0	NA	0	0	NA
CR626927.1:1376344-1376360-1377014-1377030	0	0	NA	0	0	NA
CR626927.1:1379117-1379128-1379282-1379293	0	0	NA	0	0	NA
CR626927.1:1380201-1380214-1380626-1380639	0	0	NA	0	0	NA
CR626927.1:1382440-1382453-1383073-1383086	0	0	NA	0	0	NA
CR626927.1:138323-138336-138815-138828	0	0	NA	0	0	NA
CR626927.1:1383806-1383819-1384282-1384295	0	0	NA	0	0	NA
CR626927.1:1394537-1394548-1394590-1394601	0	0	NA	0	0	NA
CR626927.1:1396063-1396076-1396763-1396776	0	0	NA	0	0	NA
CR626927.1:1400156-1400169-1400801-1400814	0	0	NA	0	0	NA
CR626927.1:1401390-1401401-1401785-1401796	0	0	NA	0	0	NA
CR626927.1:1402755-1402771-1402825-1402841	0	0	NA	0	0	NA
CR626927.1:1403392-1403406-1403748-1403762	0	0	NA	0	0	NA
CR626927.1:1406774-1406787-1406936-1406949	0	0	NA	0	0	NA
CR626927.1:1422628-1422639-1422943-1422954	0	0	NA	0	0	NA
CR626927.1:1422961-1422974-1423696-1423709	0	0	NA	0	0	NA
CR626927.1:142771-142785-143462-143476	0	0	NA	0	0	NA
CR626927.1:1430420-1430431-1430545-1430556	0	0	NA	0	0	NA
CR626927.1:1437669-1437680-1438277-1438288	0	0	NA	0	0	NA
CR626927.1:14391-14404-14938-14951	0	0	NA	0	0	NA
CR626927.1:1440337-1440351-1440616-1440630	0	0	NA	0	0	NA
CR626927.1:1441826-1441837-1442228-1442239	0	0	NA	0	0	NA
CR626927.1:1444537-1444548-1445102-1445113	0	0	NA	0	0	NA
CR626927.1:1448809-1448821-1449255-1449267	0	0	NA	0	0	NA
CR626927.1:1459135-1459146-1459581-1459592	0	0	NA	0	0	NA
CR626927.1:1460254-1460267-1460657-1460670	0	0	NA	0	0	NA
CR626927.1:1460998-1461015-1461053-1461070	0	0	NA	0	0	NA
CR626927.1:1462384-1462395-1462536-1462547	0	0	NA	0	0	NA
CR626927.1:1469020-1469031-1469417-1469428	0	0	NA	0	0	NA
CR626927.1:1471995-1472016-1472091-1472112	0	0	NA	0	0	NA
CR626927.1:1474240-1474253-1474540-1474553	0	0	NA	0	0	NA
CR626927.1:1475974-1475987-1476214-1476227	0	0	NA	0	0	NA
CR626927.1:1479489-1479502-1480015-1480028	0	0	NA	0	0	NA
CR626927.1:148089-148101-148472-148484	0	0	NA	0	0	NA
CR626927.1:1481370-1481384-1481648-1481662	0	0	NA	0	0	NA
CR626927.1:1481700-1481711-1482256-1482267	0	0	NA	0	0	NA
CR626927.1:1483466-1483477-1483530-1483541	0	0	NA	0	0	NA
CR626927.1:1484875-1484889-1485240-1485254	0	0	NA	0	0	NA
CR626927.1:1489881-1489901-1490379-1490399	0	0	NA	0	0	NA
